name,transaction_type,mw,duration_hrs,country,lead_sponsor,buyer_counterparty,lender,deal_value,date,date_display,lat,lon
Kvosted Solar Park BESS Optimisation Deal,Offtake Agreement,,,Denmark,European Energy,Danske Commodities,,,2025-12-29,Dec 2025,56.4528,9.4019
Ogrezeni Solar+BESS Project Finance,Project Finance,534,2,Romania,Enery,,UniCredit,€460m,2025-12-24,Dec 2025,44.3333,25.8333
Alpiq ToRa Saxony BESS,Acquisition,36,4,Germany,ToRa GmbH,Alpiq,,,2025-12-22,Dec 2025,51.0,13.4
Kallima Tihange BESS Financing,Project Finance,50,2,Belgium,Kallima,,,,2025-12-15,Dec 2025,50.5333,5.2833
Project Jupiter - WBS Power sale to Prime Capital,Acquisition,500,4,Germany,WBS Power GmbH,Prime Capital AG,,€500m,2025-12-11,Dec 2025,51.9917,13.0694
Verdian 280 MW BESS Portfolio Acquisition Italy,Acquisition,280,,Italy,Verdian,Verdian,,,2025-12-11,Dec 2025,40.85,14.25
OX2 Finland BESS Portfolio Financing,Project Finance,235,,Finland,OX2,Statkraft,KfW IPEX-BANK; NatWest; Nordea; SEB,,2025-12-01,Dec 2025,63.45,24.3
Trivanta Poland PV and BESS Revolving Bridge Facility,Project Finance,8,5.5,Poland,Trivanta,,Debt fund,€17m,2025-12-01,Dec 2025,52.2297,21.0122
Giga Storage Project Leopard Tolling Agreement,Offtake Agreement,300,4,Netherlands,Giga Storage,Vattenfall,,,2025-12-01,Dec 2025,53.3333,6.9167
EP Group North Baddesley BESS with GridBeyond,Offtake Agreement,50,,United Kingdom,EP Group,GridBeyond,,,2025-11-26,Nov 2025,50.9833,-1.4333
Ganfeng Lithium Kintore BESS RTM Deal,Offtake Agreement,50,3.2,United Kingdom,Ganfeng Lithium,EDF,,,2025-11-26,Nov 2025,57.2333,-2.35
ECO POWER TWO Schuby BESS Tolling Agreement,Offtake Agreement,104,2.3,Germany,ECO STOR GmbH,Alpiq,,,2025-11-25,Nov 2025,54.5167,9.45
