lender,deal_count,total_mw,energy_mwh,countries,deal_name,deal_sponsor,deal_mw
Santander,5,"2,808","5,556","Netherlands, Poland, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
Santander,5,"2,808","5,556","Netherlands, Poland, United Kingdom",Statera Energy Carrington BESS,EQT; Statera Energy,680
Santander,5,"2,808","5,556","Netherlands, Poland, United Kingdom",Lion Storage Mufasa Project,Lion Storage; Macquarie Capital; TINC,350
Santander,5,"2,808","5,556","Netherlands, Poland, United Kingdom",GIGA Leopard Battery Storage Project,GIGA Storage; InfraVia,300
Santander,5,"2,808","5,556","Netherlands, Poland, United Kingdom",Energix Polska Nowe Czarnowo I &amp; II BESS Project Finance,Energix Polska; Energix Polska sp. z o.o. Nowe Czarnowo I sp. jawna; Energix Renewables,28
NatWest,4,"2,765","3,700","Finland, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
NatWest,4,"2,765","3,700","Finland, United Kingdom",Statera Energy Carrington BESS,EQT; Statera Energy,680
NatWest,4,"2,765","3,700","Finland, United Kingdom",Zenobē Eccles 400MW Battery Storage Financing,Infracapital; KKR; Zenobē,400
NatWest,4,"2,765","3,700","Finland, United Kingdom",OX2 Finland BESS Portfolio Financing,OX2,235
NordLB,3,"1,572","3,109","Germany, Lithuania, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
NordLB,3,"1,572","3,109","Germany, Lithuania, United Kingdom",Stendal Battery Storage Project,Nofar Energy,104
NordLB,3,"1,572","3,109","Germany, Lithuania, United Kingdom",Green Genius Izabelinė and Lieponys Solar+BESS Projects,Green Genius,18
ING,3,475,"1,650","France, Netherlands, United Kingdom",Lion Storage Mufasa Project,Lion Storage; Macquarie Capital; TINC,350
ING,3,475,"1,650","France, Netherlands, United Kingdom","Field UK BESS Portfolio - Whitebirk, Holmston, Drum Farm",Low Carbon; Field,125
BNP Paribas,3,220,240,"France, Spain",Kallista Energy Saleux BESS,Kallista Energy,120
BNP Paribas,3,220,240,"France, Spain",Q ENERGY Taurus B Spanish Hybrid Solar Portfolio,Q ENERGY,100
Siemens Financial Services,2,"2,130","2,900",United Kingdom,Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
Siemens Financial Services,2,"2,130","2,900",United Kingdom,Statera Energy Carrington BESS,EQT; Statera Energy,680
ABN AMRO,2,"1,800","4,300","Netherlands, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
ABN AMRO,2,"1,800","4,300","Netherlands, United Kingdom",Lion Storage Mufasa Project,Lion Storage; Macquarie Capital; TINC,350
MUFG,2,"1,550","2,900","Spain, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
MUFG,2,"1,550","2,900","Spain, United Kingdom",Q ENERGY Taurus B Spanish Hybrid Solar Portfolio,Q ENERGY,100
Société Générale,2,"1,500",-,"Finland, United Kingdom",Fidra Energy Thorpe Marsh BESS Project Finance,EIG; Fidra Energy; National Wealth Fund,"1,450"
